ISO,Country,GDPPP_2015,Unemployment_2015,Youth_Unemployment_2015,Primary_Balance_2015,GDPLatest_2015,GDP_2016,GDP_2017,ISO2
AT,Austria,38.5,6,10.3,0.5,0.6,1.5,1.4,AT
BE,Belgium,36,8.6,19.5,0.2,1.3,1.3,1.7,BE
UK,Britain,34.5,5.6,15.9,-1.9,2.6,2.4,2.2,UK
BG,Bulgaria,5.8,9.6,18.8,2,2.2,1.5,2,BG
HR,Croatia,10.2,15.3,43.1,-2.2,0.1,1.4,1.7,HR
CY,Cyprus,20.5,16.2,31.7,-1.5,0.9,1.4,2,CY
CZ,Czech Republic,14.7,4.9,12.7,0.2,4.4,2.2,2.7,CZ
DK,Denmark,45.6,6,10.3,-0.7,1.7,2,1.8,DK
EE,Estonia,14.8,6.5,10.1,-1.3,1.9,2.6,2.6,EE
FI,Finland,37.6,9.5,23.5,-0.4,-1,0.7,1.1,FI
FR,France,32.2,10.2,23.6,-1.2,1,1.4,1.7,FR
DE,Germany,35.4,4.7,7.1,-1.9,1.6,1.9,1.9,DE
EL,Greece,16.3,25,51.8,4.8,1.4,-1.3,2.7,EL
HU,Hungary,10.5,7,18.7,1,2.4,2.2,2.5,HU
IE,Ireland,40.2,9.7,19.9,0.9,6.1,4.5,3.5,IE
IT,Italy,26.6,12.7,44.2,1.7,0.5,1.5,1.4,IT
LV,Latvia,12.1,9.9,15.8,0.2,2.6,3,3.3,LV
LT,Lithuania,12.4,8.5,17.4,0.2,1.3,2.9,3.4,LT
LU,Luxembourg,88.5,5.7,19.1,0,4.9,3.2,3,LU
MT,Malta,18.5,5.5,10,0.7,3.5,3.6,3.1,MT
NL,Netherlands,39.3,6.9,11.1,-0.8,2,2.1,2.3,NL
PL,Poland,10.7,7.7,20.3,-0.9,3.6,3.5,3.5,PL
PT,Portugal,16.6,12.4,31.6,1.6,1.5,1.7,1.8,PT
RO,Romania,7.5,7,23.3,0.2,3.7,4.1,3.6,RO
SK,Slovakia,13.9,11.8,25.7,-1.2,3.1,2.9,3.3,SK
SI,Slovenia,18.1,9.2,16.7,0.3,3,1.9,2.5,SI
ES,Spain,22.8,22.5,49.2,-1.3,3.1,2.7,2.4,ES
SE,Sweden,44.4,7.4,20.8,-0.9,2.9,2.8,2.7,SE
